year;semester;disciplinename;lectures;practices;labs;kr;kp;examen;zachet;controlnaya;consultation;practiceweeks;other
2019/20;1;Информатика и программирование;1;0;2;1;0;1;0;0;0;0;0
2019/20;1;Введение в программную инженерию;1;0;2;1;0;1;0;0;0;0;0
2019/20;1;История вычислительной техники и программирования;1;0;1;0;0;0;1;0;0;0;0
2019/20;1;Разработка консольных приложений;2;0;2;0;0;1;0;0;0;0;0
2019/20;2;Основы программирования;2;0;2;1;0;1;0;0;0;0;0
2019/20;2;Среды разработки программных средств;2;0;2;1;0;1;0;0;0;0;0
2019/20;2;Современные программные платформы;1;0;1;0;0;0;1;0;0;0;0
2019/20;2;Учебная практика по получению ППУН;0;2;0;0;0;0;0;0;0;0;0
2019/20;3;Компьютерная математика;1;1;1;0;0;1;0;0;0;0;0
2019/20;3;Динамическое программирование;2;3;0;0;0;1;0;0;0;0;0
2019/20;3;Основы программирования;2;1;1;0;0;0;1;0;0;0;0
2019/20;3;Алгоритмы и структуры данных;2;0;2;1;0;0;0;0;0;0;0
2019/20;3;Объектно-ориентированное программирование;2;0;2;1;0;1;0;0;0;0;0
2019/20;3;Теоретическая информатика;1;0;1;0;0;0;1;0;0;0;0
2019/20;4;Теория алгоритмов;1;1;1;0;0;1;0;0;0;0;0
2019/20;4;Алгоритмы и структуры данных;2;0;1;0;0;1;0;0;0;0;0
2019/20;4;Базы данных;2;0;2;1;0;0;1;0;0;0;0
2019/20;4;Архитектура вычислительных систем;2;0;2;0;0;0;1;0;0;0;0
2019/20;4;Объектно-ориентированное программирование;2;0;2;0;0;0;1;0;0;0;0
2019/20;4;Унифицированный язык моделирования UML;2;0;2;1;0;0;1;0;0;0;0
2019/20;4;Производственная практика по получению ППУН;0;4;0;0;0;0;0;0;0;0;0
2019/20;5;Теория алгоритмов;1;1;0;1;0;0;1;0;0;0;0
2019/20;5;Базы данных;1;0;2;0;0;0;1;0;0;0;0
2019/20;5;Операционные системы и сети;2;0;2;1;0;0;1;0;0;0;0
2019/20;5;Методы оптимизации;1;2;2;0;0;1;0;0;0;0;0
2019/20;5;Основы компьютерных вычислений;2;0;3;0;0;1;0;0;0;0;0
2019/20;5;Проектирование и архитектура программных систем;2;0;1;0;0;0;1;0;0;0;0
2019/20;6;Теория автоматов и формальных языков;2;0;2;1;0;1;0;0;0;0;0
2019/20;6;Тестирование программного обеспечения;1;0;1;0;0;0;1;0;0;0;0
2019/20;6;Исследование операций;1;2;1;0;0;0;1;0;0;0;0
2019/20;6;Инструментальные программные средства для разработки автоматизированных систем в промышленности;1;0;2;1;0;0;1;0;0;0;0
2019/20;6;Объектно-ориентированное программирование экономических информационных систем;2;0;2;0;0;1;0;0;0;0;0
2019/20;6;Разработка и анализ требований;2;0;2;0;0;0;1;0;0;0;0
2019/20;6;Нечеткая логика;2;0;2;0;0;1;0;0;0;0;0
2019/20;6;Производственная практика (НИР);0;2;0;0;0;0;0;0;0;0;0
2019/20;7;Проектирование человеко-машинного интерфейса;2;0;3;0;0;1;0;0;0;0;0
2019/20;7;Конструирование программного обеспечения;1;1;2;0;0;0;1;0;0;0;0
2019/20;7;Исследование операций;1;0;2;0;0;0;1;0;0;0;0
2019/20;7;Теория языков программирования и методы трансляции;0;1;2;1;0;0;0;0;0;0;0
2019/20;7;Объектно-ориентированное программирование экономических информационных систем;0;0;2;1;0;0;1;0;0;0;0
2019/20;7;Параллельные вычисления;2;0;2;0;0;0;1;0;0;0;0
2019/20;7;Web-программирование;1;0;3;0;0;1;0;0;0;0;0
2019/20;8;Управление программными проектами;1;1;2;0;0;1;0;0;0;0;0
2019/20;8;Теория вычислительных процессов;2;2;2;1;0;1;0;0;0;0;0
2019/20;8;Защита информации;2;0;2;0;0;0;1;0;0;0;0
2019/20;8;Параллельные вычисления;2;0;2;0;0;1;0;0;0;0;0
2019/20;8;Системы искусственного интеллекта;2;0;3;1;0;0;1;0;0;0;0
2019/20;8;Моделирование систем;1;1;4;0;0;0;1;0;0;0;0
2019/20;8;Государственный экзамен;0;0;0;0;0;0;0;0;0;0;0
2019/20;8;Участие в ГЭК;0;0;0;0;0;0;0;0;0;0;0
2019/20;8;Производственная практика (преддипломная практика);0;2;0;0;0;0;0;0;0;0;0
2019/20;8;Выпускная работа;0;0;0;0;0;0;0;0;0;0;0
